average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days,cluster,agg_cluster_labels,dbscan_cluster,mb_kmeans_cluster,churn_risk,user_tier,engagement_diversity
21000.000000000007,0.1200326943148557,1,2,0x7ff2c79ecd72f00765487a1e0279229b89f07e5d,201,200,24.126571557286013,31,0.0,4,3,0,Low Risk,Casual,High Diversity
21000.000000000007,0.1197075615281988,1,2,0x5d2dfab61e1f488056b63814bd657f3a120271c5,201,200,24.061219867167964,31,0.0,4,3,0,Low Risk,Casual,High Diversity
21000.000000000007,0.1199711298139035,1,2,0xecdf00c0e9b279317dc2cf37bd05c653fcb16a97,201,200,24.114197092594605,31,0.0,4,3,0,Low Risk,Casual,High Diversity
192948.4129353232,6.710940298507463,22,0,0xa95e00a2b25adc1c1dcb5867eb2b37b31cf10423,201,14,1348.899,4,1.0,0,1,1,Low Risk,Power User,Low Diversity
120378.44776119402,0.2613374143734852,18,3,0x57eb6c0cb5e5bcf595111302fe23a3bc555ed61a,201,13,52.52882028907053,3,0.0,0,1,1,Low Risk,Casual,Low Diversity
270469.66666666686,0.6998646489366186,30,0,0x570bf7c6eb51941928518651ed410ab2f07b5613,201,11,140.67279443626035,4,0.0,0,1,1,Low Risk,Regular,Low Diversity
231971.7213930351,0.1520067409084066,30,0,0x6afd566a1e1a437566ed420c994247aec6bc209c,201,22,30.553354922589733,4,1.0,0,1,1,Low Risk,Casual,Moderate Diversity
272712.7412935322,8.993065707416632,25,0,0x4cf6baff3db70ad69da679ccc05118dee97b9597,201,16,1807.606207190743,4,0.0,0,1,1,Low Risk,Power User,Moderate Diversity
302829.5771144281,1.704334428283012,30,0,0x41b511f1496322eadc13374f3a70b197040faecc,201,18,342.5712200848854,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
317458.6666666669,0.0165197712577366,31,0,0x54d68bbd1f09817ebc8cfbaf4e31cc5260ab7479,201,11,3.320474022805074,3,0.0,0,1,1,Low Risk,Casual,Low Diversity
87859.81094527368,41.9363184079602,15,5,0xd3e97b1b36b7b7255be13e084c3313b97e83044e,201,19,8429.2,5,0.0,2,2,2,Medium Risk,Whale,Moderate Diversity
80970.08955223893,3.3452238805970147,30,0,0xee347231e12c000d51fffa57b73bafea073f9ac2,201,11,672.39,4,4.0,0,1,1,Low Risk,Regular,Low Diversity
172840.57213930346,0.4457444665984883,30,0,0x97db861f76752c4d716de2569180d2ed665e4d2a,201,17,89.59463778629615,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
206526.86567164172,50.494736954860514,30,0,0x24f0c1fd95befe54f0785bfb3084d418f279bf80,201,21,10149.442127926965,4,0.0,2,2,2,Low Risk,Whale,Moderate Diversity
