average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days
2.6280248896820208e-14,0.006257422408342902,30,0,0xb5cc991579aa439a4b049df3ac350589b03e748c,10651,610,66.64780607126025,4
5.2037428557786785e-14,0.00012431972301814708,23,0,0xf52cedf3afdcabcb4cd4c51ccd94ae05990b49ca,10470,16,1.3016275,11
3.5506735761984704e-14,0.048586306651445234,31,0,0x0baea9655a6adcdfd8c2b3ca5dcc61d3d6b32cfd,10184,557,494.80294693831826,4
2.10598933625665e-14,0.49975084711979273,5,23,0x8c22b7391a80980cd3c1bcec12c235363f1ffe7a,10034,9779,5014.5,7
6.770060598428553e-14,0.0,17,0,0x90a0ad795a9d18caafc515649e34fee683d6d392,9926,1,0.0,18
6.770709814591068e-14,0.0,17,0,0xca59f1e3c233d011e37f1168a4e6aa77faa005a8,9924,1,0.0,18
6.770668739903251e-14,0.0012280502529689265,18,0,0x677551a5870d7a7f8915ef6dc24a3b0e4b2f1c5b,9904,2,12.162609705404249,14
4.5907682891164506e-14,0.01864842281178206,22,0,0xeeff8e15f1d1104b3845da1205dd23f4bbf6f367,9574,441,178.54000000000144,11
8.961536316731048e-14,0.00526977745756531,30,1,0x4a1f7fabef0ca332632dabd1c3604dba0a62b6b2,9497,6,50.047076514497746,4
3.633853696208089e-14,0.011387409458883564,29,0,0xf2bc1c412e0d469d3b6de9c57688ccf3fc511f74,9388,413,106.90499999999889,4
3.3469576497648524e-14,0.0518205041943631,12,0,0xefd7ae67bac2cd4bccf2d88784b9ec9a7898c1a7,9131,1583,473.17302379872945,10
3.470410658376899e-14,0.004435165766938019,21,6,0x94a9552f905a5b5f6616a72c201de9d57e408d78,9007,791,39.947538062810736,4
1.5035747810056027e-13,0.0,31,0,0x67c70f4f3adc9776b6c5beaf49b2776a37dc9b03,8950,1,0.0,4
3.319837309588212e-14,0.005874194163281277,16,11,0x90d99be936f52a1bb951aed6193a6fe98eaef571,8928,456,52.44480548977524,4
3.539190484821281e-14,0.5225476190533582,28,0,0x2a38956ff4645ff5b58d1ebc0a48db63f1ff2490,8828,219,4613.050381003047,4
5.300447946448877e-14,0.9792008416696579,19,7,0x44acc2752b92c769450f91b4b89c16373aa601a6,8814,851,8630.676218476365,4
1.8853823804621483e-13,1494.245024021963,31,0,0x4d7865cc31411ab4e411d90557ed8ae501f6d7aa,8742,6,13062690.0,4
6.773852568356175e-14,0.0,15,15,0x5c7372c1653d3faadf2a68b307b5690b76d479e4,8741,3,0.0,4
6.777508462282542e-14,0.0,15,15,0xa7ca7cb79b446946aa08ab4ecaa2ff22556da460,8272,3,0.0,4
4.560622417154112e-14,0.06800600416213456,24,1,0xf6162183dcd8f46a301ef8a9fc3b5e988590729c,8208,410,558.1932821628005,7
2.4944855087319696e-13,77.53453435627817,31,0,0x17a419e4b19eb2dbdfc4a69802361f12a63be3f1,7902,24,612677.8904833101,4
3.982651510516128e-14,0.015089243746115033,29,0,0x371a1d974886ca39389e4f3e2ff2cadbde22a209,7845,479,118.37511718827244,4
6.780088197562632e-14,0.0009054527759423926,15,15,0xb69ab7a2f7f1aa6540d2b5ee49c23df51592630d,7795,3,7.058004388470951,4
2.797940448679993e-12,0.0,7,1,0x667ac320fd2a6772232cd112b4c3269a58ab0be9,7765,2,0.0,19
3.6018776789219175e-14,0.0028893715443034373,24,0,0x5f68eba5751d8045b73bb85103e32bd75251cb03,7643,404,22.08346671311117,4
2.785521624500584e-14,0.004476725030290241,30,0,0x10e25343548deb4aec9f7d299acfeb0a5d58e99e,7510,305,33.62020497747971,4
2.1033726136057325e-14,0.002918951951768889,24,2,0x3dfac4258cc3dfb68fab4e2a203309013b0afd49,7438,305,21.711164617256994,5
